Text,Label
"UP Health Minister Jai Pratap Singh, who was at a party with singer Kanika Kapoor, tests negative for #coronavirus: news agency PTI (File Image) More on HTTPURL HTTPURL",INFORMATIVE
"HAPPENING NOW: In the latest WH Briefing on #coronavirus response, President @USER says in the first case of it’s kind... yesterday...fed prosecutors shut down a website selling a FAKE #COVID19 vaccine. @USER HTTPURL",UNINFORMATIVE
Trump will go down in the history books as: 1) The worst president in American History 2) Killer of thousands due to his handling of the coronavirus 3) The downfall of the Republican Party 4) Impeached 5) A criminal,UNINFORMATIVE
"Ramping up the health system's capacity for the coming surge of U.S. COVID-19 cases requires a commitment to boosting safety, capacity, and communication. HTTPURL HTTPURL",UNINFORMATIVE
@USER @USER Remember your House FAKE Sham Impeachment 2020? Meanwhile President Trump was blocking China &amp; shutting down USA borders for protection? He was also busy gathering his COVID19 Task forces: Military Medical &amp; HHS just to name a few Depts! You would NOT know a hole in the wall.🙄,UNINFORMATIVE
"COVID-19: U.S. Total cases: 525,704 Total deaths: 20,486 So glad you are concerned about the coronavirus instead of why the news media said something about you that you didn’t like... people are dying. Stop.",INFORMATIVE
The Lynn Valley Care Centre in has been ground zero for the #coronavirus in BC. 36 residents and 18 workers have now tested positive. #NorthVan families worry their devastating experience could be repeated #COVID19Vancouver,INFORMATIVE
"Looking for your fix of positive business news from #CountyDurham and #Wearside? Our friends at Wear Business are adding new stories daily at HTTPURL The link's in the ""recommended reading"" section of our COVID-19 knowledgebase at HTTPURL too! HTTPURL",UNINFORMATIVE
"3. Bio-warfare or not, everything looks surprisingly great for Russia. With 0 coronavirus deaths so far, escalation of NATO military activity along Russia's borders, the Baltics and the arctic, has been put to a halt due to the #covid19 pandemic... HTTPURL",INFORMATIVE
@USER 💩 Where are TESTS? Where are MEDICAL SUPPLIES? Why can rich people &amp; trumpublican get tests &amp; we can't? Why did trump REFUSE WHO test kits when ours FAILED? Trump knew about COVID-19 since Dec/Jan. Trump &amp; rest of Trumpublicans are complicit &amp; for Increase in cases &amp; DEATHS!,UNINFORMATIVE
@USER @USER It's about as well-worded as that Reuters announcement the other day. First coronavirus case confirmed in NY: Governor Cuomo.,INFORMATIVE
@USER @USER Cut funding to the CDC puting all Americans in danger because President Obama put a plan in place to head off something like this. Go to hell MF. You &amp; your family profiting off your pregnancy &amp; don't care about us #trumpisakiller #COVIDー19 #Biden,UNINFORMATIVE
"@USER LB. I like both of you and I wont get between you two. But today the CDC reported that 23,000+ have died from the regular Influenza. So perspective is required. I’m still waiting for an expert to explain our response to Coronavirus vs Influenza. ???",UNINFORMATIVE
"@USER @USER @USER @USER New Jersey--despite having Dem Governor--has been no more proactive and no more transparent, than White House. New Jersey COVID-19 webpage provides no information on NJ testing and NJ cases, and falsely states ""This virus is NOT currently spreading widely in the United States.""",UNINFORMATIVE
Case growth since 0600 April 14th (as at 0538 April 18th): Canada - 28%! UK - 23% USA - 21% Netherlands - 15% Germany - 9% Italy - 8% Austria - 5% #Covid19,UNINFORMATIVE
"Thread: After being briefed on the coronavirus threat, and after the cases in the U.S., Trump sent 17.8 tons of our facemasks and gowns--our PPE reserve--to China. #Trumpdemic #TrumpVirus #TrumpGenocide",UNINFORMATIVE
"Today, in Italy, the numbers are still very high but there has been a fall in the no. of new cases (4,781) and a lower addition to the no. of dead (602) second consecutive day. Could this be the beginning of the ""decrease in the increase"" we have been waiting for? #coronavirus",INFORMATIVE
"223 people have died today in the United States because of the coronavirus. Yesterday, the total was 164. This is all on your hands Little Donnie @USER",INFORMATIVE
"Wesleyan University is actively monitoring the global coronavirus (COVID-19) emergency and its potential impacts on our campus community. To date, there are no confirmed cases at Wesleyan or in the state of Connecticut. Learn more here: HTTPURL",INFORMATIVE
"Out of an abundance of caution regarding the Coronavirus situation in the state of Washington, CC is transitioning in-seat classes to Interactive Virtual Courses for our 3 WA locations. There have been NO reported cases of COVID-19 in the CC community. HTTPURL",INFORMATIVE
"Reminder: I voted to elect the competent, prepared stateswoman named @USER #COVID19 #TrumpPressConference #TrumpOwnsEveryDeath #CNNTownHall HTTPURL",UNINFORMATIVE
"@USER We *always* want to be #1 in America. #1 in COVID cases, #1 in COVID hospital admissions, #1 in lack of PPE, #1 in COVID deaths, #1 in hospital workers infected w COVID... we’ll show the world what a REAL disaster looks like. #covid19 #TrumpPandemic 💀#PencePandemic 💀",UNINFORMATIVE
"Since @USER sit down with Police Commissioner @USER on Friday, now 98 members of the NYPD have tested positive for COVID-19. 70 are uniformed officers, while 28 are civilian aides.",INFORMATIVE
"Kya soonch hai iss ki ,Covid19 patient theek honay par ya naraaz hai! This moron should in jail! He doesn't deserve Quarantine but Tihar jail!",UNINFORMATIVE
"Air India Boeing, B-777 was scheduled to depart for Rome to bring back Indians today on 14:20 hours and now special flight was rescheduled for 16:00 hours. Air India engineering team is underway to replace the equipment at Delhi airport. #coronavirus",UNINFORMATIVE
"Connecticut, Kentucky and Oklahoma have confirmed their first covid-19 cases. Pence sought to assuage concerns about the availability of coronavirus testing Fri, saying that all public health laboratories now have the tests",INFORMATIVE
Good evening everyone On Friday evening I received the news that I was dreading from a friend in Italy My dear friend Enzo had died from Coronavirus😥 He was a wonderful person I loved him dearly and I will miss him greatly When all of this madness is over our lives will never HTTPURL,INFORMATIVE
Update on my Geordie mate. Pneumonia and a bacterial infection. He’s still in ICU on oxygen but off his drips. Interestingly tested negative for Covid-19 but his consultant says it is. Either that’s because he had self isolated for 10 days prior to hospital or test doesn’t work.,INFORMATIVE
"@USER @USER ecuador is being devastated by the virus. there are already 200 deaths in dominican republic. like here, many people aren’t being tested so they don’t have the actual numbers. we really don’t know much about the coronavirus. HTTPURL",INFORMATIVE
"@USER Hey Rebecca. Buried in all the conversations is this: Per the JH dashboard, by June 1/8 to 1/5 of the world outside China will be infected by covid-19.",UNINFORMATIVE
"The uncertainty, fear &amp; panic that we are experiencing around #COVID19 can have a negative #impact on your #mentalhealth. It’s important to ensure we are carving out time to calm the noise &amp; the chaos. I share some tips here: HTTPURL",UNINFORMATIVE
Jan 27th there were five people in America with #coronavirus. Trump has botched the shit out of this situation. We've got to get him out of the WH NOW!!! #MSNBC #LastWord #11thHour #AMJoy HTTPURL,INFORMATIVE
"Still ⁦@USER makes even less sense than yesterday when you suggested it. Coronavirus: Ohio cases at 4,782; DeWine seeks release of 167 inmates HTTPURL",INFORMATIVE
90% of the criticism directed at Johnson and Trump over Covid19 is motivated by hatred of Johnson and Trump. Petty politicisation of a global catastrophe unleashed by China who these leftists tell us have dealt brilliantly with their outbreak. So brilliantly it infected the world,UNINFORMATIVE
"One of the most effective systems against #COVID is tracking of suspected patients. Of course the Zim government will tell you they don't have resources to do this, but when they have to track political opponents the system never disappoints. Interesting #covid19zimbabwe",UNINFORMATIVE
"2/ The Navy doesn't want to use them for coronavirus patients except as a last resort, so that they can stay ready to deploy in case a war breaks out. So the plan, for now, is to use them as overflow trauma centers to deal with injuries, shootings, stabbings etc...",UNINFORMATIVE
"Pakistani has recorded 3,277 COVID-19 cases and 50 deaths caused by the virus, however, the true tally is thought to be many times larger as only limited testing is available in the impoverished country of 215 million. #ProtectDoctors HTTPURL",INFORMATIVE
"#JUSTIN: Maharashtra: 39 people have been discharged from hospitals so far after recovering from the novel coronavirus infection, including 14 in Mumbai.",INFORMATIVE
"One of the patients being treated for COVID-19, in Atonsu Agogo Hospital, in the Ashanti Region, has recovered. He was one of the... HTTPURL HTTPURL",INFORMATIVE
"Man in his early 80s with underlying health issues is second person with coronavirus to die in the UK, hospital says HTTPURL",INFORMATIVE
because of ada 2 practical student suspect covid so semua practical student direhatkan till 31st march so ya,INFORMATIVE
"If you are an accounting &amp; auditing practitioner desiring information on the impact of COVID-19 on accounting and financial reporting, sign up for 'Accounting and Financial Reporting Considerations Related To COVID‑19' airing 4/9 and 4/17 at 10 AM Eastern. HTTPURL HTTPURL",UNINFORMATIVE
"🇹🇬Togo ""From a single case, the number of people infected by the coronavirus has increased to 9 in Togo. The ministry of health indicated that the first case has recovered.""",INFORMATIVE
Coronavirus death: Man in Milton Keynes Hospital believed to be the second fatality in the UK :: Buc HTTPURL,INFORMATIVE
"DM Noida has ordered lockdown of Supertech Capetown housing society in sector 74, Noida from March 21 to 23 after one positive case #COVID19 #CoronavirusPandemic",INFORMATIVE
"@USER South Korea had their first confirmed case the same day we did. How many deaths have they had, as compared to ours? THAT is why the COVID deaths are unacceptable.",UNINFORMATIVE
18 people die in Australia if flu every week of normal Flu and only 2 people' have died if Coronavirus flu in Aus in 4 half weeks. Our corrupt government know that get money through fear whenever your Gov says it's for your own good be scared it's for there own good.,INFORMATIVE
"@USER Are you “ Making America Great Again !” If you don’t force all American people to stay at home until the coronavirus under control, the virus will go away with killing whole country people’s lives! Be a responsible president! Save USA!",UNINFORMATIVE
"China's coronavirus recovery is 'all fake,' whistleblowers and residents claim - HTTPURL HTTPURL",UNINFORMATIVE
"Germany experiencing a lower death rate relative to their population. Comparing the U.S.A. to Germany, Italy, Spain, France and the U.K. .... U.S.A. also compared to Canada - so far very different. #COVID19Pandemic #COVID19 #COVIDー19 HTTPURL",UNINFORMATIVE
"At that point, Warren had already been sounding the alarm for five weeks. She rolled out a more general plan for infectious disease outbreaks, naming coronavirus as a threat, on 1/30. At that point there were six known cases in the US: HTTPURL",INFORMATIVE
"@USER @USER Only started today and 88 signatures. #StanleyJohnson promised #Brexit ""in a flash"" with his son and interfered in #coronavirus impact on UK. He also wanted us to go out to pubs and infect/get infected. So he thinks he can run now from the consequences? HTTPURL",UNINFORMATIVE
"@USER no it's not ridiculous, In France the Basket Ball games are suspended, we have more than 2,300 positives cases and allready 59 People's died, the covid 19 virus is really dangerous",INFORMATIVE
"White House economic adviser Larry Kudlow claims coronavirus is 'contained,' says Americans should 'stay at work' HTTPURL via @USER #LyinLarry is a #tRumpToadie for #LyinDonnie!",UNINFORMATIVE
"“An air traffic control supervisor in #INDIANAPOLIS tested positive, the Federal Aviation Administration reported. It’s the third #FAA facility affected by #COVID -19. (from @USER HTTPURL",INFORMATIVE
@USER My daughter is an R.N. at the Barbara McInnis house. She just tested positive for Covid-19. WHAT ARE YOU DOING TO PROTECT OUR HEALTHCARE WORKERS??? I will be badgering you daily until you DO SOMETHING.,INFORMATIVE
Wonder WHY US is making their testing kits? Micro experts in Spain have said that rapid coronavirus tests that the country bought from China are not consistently detecting positive cases. They correctly identify people with the virus only 30% of the time!! HTTPURL,UNINFORMATIVE
"I think that Disney channel should bring back Phineas &amp; Ferb, but COVID-19 version.",UNINFORMATIVE
Dr. Hinshaw reported two additional covid-related deaths in Alberta. My heartfelt condolences to the families and loved ones of these individuals during this difficult time.,INFORMATIVE
"The Nigeria Centre for Disease Control (NCDC) has confirmed deaths of two COVID-19 patients in Lagos and Edo. NCDC, through its verified Twitter account on Friday night, however, did not give further details about the patient’s sex or medical history. HTTPURL",INFORMATIVE
"In case you or someone you know can sew, here is the link to the organization collecting masks for hospitals, with instructions on how to sew. #COVIDー19 HTTPURL",UNINFORMATIVE
"#SADCYOUTH Global Twitter Chat Meet Kushal Naharki @USER the @USER Ambassador for Nepal. He will join other young people to share on the role of Youth during this COVID19 disaster tomorrow, 7 April 2020 from 11am-12:30pm CAT #SADCYOUTH @USER HTTPURL",UNINFORMATIVE
BREAKING NEWS: Gov. Ige confirms Hawaii has its first case of COVID-19. The person infected is a Hawaii resident who was on the Grand Princess cruise ship. @USER,INFORMATIVE
"Mexico still has ZERO cases of the coronavirus. Which proves once again that Vicks, 7-Up and Sana Sana Colita de Rana remain undefeated. 🇲🇽 HTTPURL",INFORMATIVE
From Andamans to Arunachal to border districts of Rajasthan to J&amp;K — the latest positive cases related to Tablighi Jamaat conclave #COVID,INFORMATIVE
"NHS Digital data update: for week ending 27 March: 'Of the deaths registered in Week 13, 539 mentioned ""novel coronavirus (COVID-19)"", which is 4.8% of all deaths; this compared with 103 (1.0% of all deaths)' in previous the week.",INFORMATIVE
Sad justice in America. The Commander of a US aircraft carrier loses his job because he acted to save his crew from COVID-19. @USER keeps his job for doing nothing and his negligence will kill thousands of his citizens. HTTPURL,UNINFORMATIVE
"TODAY: We are in the High Court at 10.30am arguing for urgent releases of people held in immigration detention, esp those with underlying conditions, as more suspected COVID19 cases emerge: @USER @USER @USER @USER HTTPURL",UNINFORMATIVE
“Deputy for health in Zahedan said yesterday positive cases/deaths from #coronavirus have doubled &amp; social distancing must remain. Hours later Rouhani said things here were ‘condition white’. In truth they’re always ‘condition red’.” From community member in Sistan &amp; Baluchestan HTTPURL,UNINFORMATIVE
Las Vegas News Minnesota records first coronavirus case; Ramsey County resident had traveled on cruise ship - St. Paul Pioneer Press HTTPURL HTTPURL,INFORMATIVE
"The infographic shows the spread of #COVID19 outside of China. #Ireland has 683 confirmed cases with three deaths. Brave healthcare works, volunteers, communities are giving everything to contain the virus and assist each other in this difficult moment. Source: BBC, JHU HTTPURL",INFORMATIVE
Gaza announced yesterday its two first cases of COVID-19. In this article I explain how a Coronavirus breakout in Gaza will be a disaster and the history behind Gaza’s current conditions. Please share widely HTTPURL,INFORMATIVE
"ONLINE MEETING &amp; WORKSHOP OF COLLEGE PRINCIPALS OF MD UNIVERSITY ROHTAK April 6,2020 MDU VC Prof. Rajbir Singh addressing/interacting with College Principals Sharing Governance Road Map during COVID-19 Times @USER , @USER , @USER HTTPURL",UNINFORMATIVE
